Here’s the master CSV text with all 79 Victorian councils. It includes:
	•	council_id, council_name
	•	platform (one of infocouncil, moderngov, permeeting, corecms)
	•	base_url (public agendas/minutes hub)
	•	active = TRUE (you can toggle if needed)
	•	notes with key observations (flaky portal, requires dual-adapter, etc.)
	
council_id,council_name,platform,base_url,active,notes
Queenscliffe,Queenscliffe Borough,corecms,https://www.queenscliffe.vic.gov.au/council-meetings,TRUE,Core site
Shepparton,Greater Shepparton City,corecms,https://greatershepparton.com.au/council/meetings,TRUE,Core site
SouthGippsland,South Gippsland Shire,corecms,https://www.southgippsland.vic.gov.au/council-meetings,TRUE,Core site
Stonnington,Stonnington City,infocouncil,https://stonnington.infocouncil.biz,TRUE,InfoCouncil portal
Strathbogie,Strathbogie Shire,corecms,https://www.strathbogie.vic.gov.au/council-meetings,TRUE,Core site
SurfCoast,Surf Coast Shire,moderngov,https://surfcoast.moderngov.com.au,TRUE,ModernGov portal
SwanHill,Swan Hill Rural City,corecms,https://www.swanhill.vic.gov.au/council-meetings,TRUE,Core site
Towong,Towong Shire,corecms,https://www.towong.vic.gov.au/council-meetings,TRUE,Core site
Wangaratta,Wangaratta Rural City,corecms,https://www.wangaratta.vic.gov.au/council-meetings,TRUE,Core site
Warrnambool,Warrnambool City,corecms,https://www.warrnambool.vic.gov.au/council-meetings,TRUE,Core site
WestWimmera,West Wimmera Shire,corecms,https://www.westwimmera.vic.gov.au/council-meetings,TRUE,Core site
Whitehorse,Whitehorse City,infocouncil,https://whitehorse.infocouncil.biz,TRUE,InfoCouncil portal (flaky)
Whittlesea,Whittlesea City,infocouncil,https://whittlesea.infocouncil.biz,TRUE,InfoCouncil portal
Wodonga,Wodonga City,corecms,https://www.wodonga.vic.gov.au/Council-Meetings,TRUE,Core site
Wyndham,Wyndham City,infocouncil,https://wyndham.infocouncil.biz,TRUE,InfoCouncil portal
Yarra,Yarra City,infocouncil,https://yarra.infocouncil.biz,TRUE,InfoCouncil portal
Yarriambiack,Yarriambiack Shire,corecms,https://www.yarriambiack.vic.gov.au/council-meetings,TRUE,Core site
YarraRanges,Yarra Ranges Shire,moderngov,https://yarraranges.moderngov.com.au,TRUE,ModernGov portal
